artist,title,title_index,release_year,hp,bill_year,bill_ranking,era,era_year,popularity,loudness,tempo,time,modality,danceability,energy,speechiness,instrumentalness,liveness,valence,genre
Eminem,Stan,29,2000,259,2019,379,90s,1990-1999,75,-4.325,80.063,4,0,0.78,0.768,0.238,2.34E-06,0.518,0.507,hip hop
Run-D.M.C.,Walk This Way,30,1986,1281,2014,1760,oldies,1920-1989,70,-12.56,105.598,4,0,0.759,0.578,0.0468,8.18E-05,0.0605,0.944,hip hop
Run-D.M.C.,Walk This Way,30,1986,1281,2015,1805,oldies,1920-1989,70,-12.56,105.598,4,0,0.759,0.578,0.0468,8.18E-05,0.0605,0.944,hip hop
Run-D.M.C.,Walk This Way,30,1986,1281,2016,1910,oldies,1920-1989,70,-12.56,105.598,4,0,0.759,0.578,0.0468,8.18E-05,0.0605,0.944,hip hop
Run-D.M.C.,Walk This Way,30,1986,1281,2017,1641,oldies,1920-1989,70,-12.56,105.598,4,0,0.759,0.578,0.0468,8.18E-05,0.0605,0.944,hip hop
Run-D.M.C.,Walk This Way,30,1986,1281,2018,1281,oldies,1920-1989,70,-12.56,105.598,4,0,0.759,0.578,0.0468,8.18E-05,0.0605,0.944,hip hop
Run-D.M.C.,Walk This Way,30,1986,1281,2019,1444,oldies,1920-1989,70,-12.56,105.598,4,0,0.759,0.578,0.0468,8.18E-05,0.0605,0.944,hip hop
Propaganda,Duel,31,1985,740,2000,810,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
Propaganda,Duel,31,1985,740,2001,740,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
Propaganda,Duel,31,1985,740,2002,809,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
Propaganda,Duel,31,1985,740,2003,1062,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
Propaganda,Duel,31,1985,740,2004,1168,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
Propaganda,Duel,31,1985,740,2005,1231,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
Propaganda,Duel,31,1985,740,2006,1228,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
Propaganda,Duel,31,1985,740,2007,1808,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
Propaganda,Duel,31,1985,740,2008,1265,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
Propaganda,Duel,31,1985,740,2009,973,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
Propaganda,Duel,31,1985,740,2010,1377,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
Propaganda,Duel,31,1985,740,2011,1798,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
Propaganda,Duel,31,1985,740,2012,1592,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
Propaganda,Duel,31,1985,740,2013,1535,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
Propaganda,Duel,31,1985,740,2014,1790,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
Propaganda,Duel,31,1985,740,2015,1855,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
Propaganda,Duel,31,1985,740,2016,1995,oldies,1920-1989,53,-11.321,144.873,4,0,0.672,0.697,0.0343,0.407,0.118,0.528,hip hop
